2022-10-03 05:11:17, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:18, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:19, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:20, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:21, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:22, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:23, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:24, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:25, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:26, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:27, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:28, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:29, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:30, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:31, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:32, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:33, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:34, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:35, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:36, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:37, soc: 0, bat: 0.000000, vout: 3448.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:38, soc: 0, bat: 3603.600000, vout: 5256.000000, charge: 42.857143, discharge: 0.000000
2022-10-03 05:11:39, soc: 0, bat: 3595.200000, vout: 4652.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:40, soc: 0, bat: 3596.400000, vout: 4656.000000, charge: 3.571429, discharge: 0.000000
2022-10-03 05:11:41, soc: 0, bat: 4190.400000, vout: 10092.000000, charge: 3678.571429, discharge: 0.000000
2022-10-03 05:11:42, soc: 0, bat: 4190.400000, vout: 9264.000000, charge: 3621.428571, discharge: 0.000000
2022-10-03 05:11:43, soc: 0, bat: 4190.400000, vout: 9232.000000, charge: 3610.714286, discharge: 0.000000
2022-10-03 05:11:44, soc: 0, bat: 4190.400000, vout: 8208.000000, charge: 3596.428571, discharge: 0.000000
2022-10-03 05:11:45, soc: 1, bat: 4191.600000, vout: 9232.000000, charge: 3560.714286, discharge: 0.000000
2022-10-03 05:11:46, soc: 1, bat: 4197.600000, vout: 9240.000000, charge: 3485.714286, discharge: 14.285714
2022-10-03 05:11:47, soc: 1, bat: 4212.000000, vout: 8208.000000, charge: 3435.714286, discharge: 0.000000
2022-10-03 05:11:48, soc: 1, bat: 4206.000000, vout: 10092.000000, charge: 3428.571429, discharge: 0.000000
2022-10-03 05:11:49, soc: 1, bat: 4206.000000, vout: 9232.000000, charge: 3407.142857, discharge: 0.000000
2022-10-03 05:11:50, soc: 2, bat: 4207.200000, vout: 9068.000000, charge: 3360.714286, discharge: 0.000000
2022-10-03 05:11:51, soc: 2, bat: 4207.200000, vout: 10092.000000, charge: 3353.571429, discharge: 0.000000
2022-10-03 05:11:52, soc: 2, bat: 4207.200000, vout: 9224.000000, charge: 3350.000000, discharge: 0.000000
2022-10-03 05:11:53, soc: 2, bat: 4221.600000, vout: 9288.000000, charge: 3339.285714, discharge: 0.000000
2022-10-03 05:11:54, soc: 2, bat: 4222.800000, vout: 9232.000000, charge: 3321.428571, discharge: 0.000000
2022-10-03 05:11:55, soc: 3, bat: 4225.200000, vout: 9068.000000, charge: 3321.428571, discharge: 0.000000
2022-10-03 05:11:56, soc: 3, bat: 4224.000000, vout: 8208.000000, charge: 3317.857143, discharge: 0.000000
2022-10-03 05:11:57, soc: 3, bat: 4225.200000, vout: 9232.000000, charge: 3317.857143, discharge: 0.000000
2022-10-03 05:11:58, soc: 3, bat: 4225.200000, vout: 9232.000000, charge: 3317.857143, discharge: 0.000000
2022-10-03 05:11:59, soc: 3, bat: 4225.200000, vout: 9288.000000, charge: 3310.714286, discharge: 0.000000
2022-10-03 05:12:00, soc: 4, bat: 4225.200000, vout: 9288.000000, charge: 3303.571429, discharge: 0.000000
2022-10-03 05:12:01, soc: 4, bat: 4225.200000, vout: 10092.000000, charge: 3300.000000, discharge: 0.000000
2022-10-03 05:12:02, soc: 4, bat: 4225.200000, vout: 8208.000000, charge: 3296.428571, discharge: 0.000000
2022-10-03 05:12:03, soc: 4, bat: 4225.200000, vout: 9288.000000, charge: 3260.714286, discharge: 0.000000
2022-10-03 05:12:04, soc: 4, bat: 4225.200000, vout: 9288.000000, charge: 3221.428571, discharge: 0.000000
2022-10-03 05:12:05, soc: 5, bat: 4225.200000, vout: 9068.000000, charge: 3200.000000, discharge: 0.000000
2022-10-03 05:12:06, soc: 5, bat: 4225.200000, vout: 9232.000000, charge: 3196.428571, discharge: 0.000000
2022-10-03 05:12:07, soc: 5, bat: 4225.200000, vout: 9288.000000, charge: 3192.857143, discharge: 0.000000
2022-10-03 05:12:08, soc: 5, bat: 4225.200000, vout: 8208.000000, charge: 3189.285714, discharge: 0.000000
2022-10-03 05:12:09, soc: 5, bat: 4225.200000, vout: 9288.000000, charge: 3189.285714, discharge: 0.000000
2022-10-03 05:12:10, soc: 6, bat: 4225.200000, vout: 9068.000000, charge: 3189.285714, discharge: 0.000000
2022-10-03 05:12:11, soc: 6, bat: 4225.200000, vout: 9288.000000, charge: 3185.714286, discharge: 0.000000
2022-10-03 05:12:12, soc: 6, bat: 4224.000000, vout: 9232.000000, charge: 3171.428571, discharge: 0.000000
2022-10-03 05:12:13, soc: 6, bat: 4224.000000, vout: 10092.000000, charge: 3150.000000, discharge: 0.000000
